STATION,NAME,DATE,TAVG_F,TMAX_F,TMIN_F,TAVG,TMAX,TMIN
UPM00033983,"KERCH, UP",1/1/2015,24,29,,-4.444444444,-1.666666667,-17.77777778
UPM00033983,"KERCH, UP",1/2/2015,32,40,19,0,4.444444444,-7.222222222
UPM00033983,"KERCH, UP",1/3/2015,37,41,,2.777777778,5,-17.77777778
UPM00033983,"KERCH, UP",1/4/2015,38,46,31,3.333333333,7.777777778,-0.555555556
UPM00033983,"KERCH, UP",1/5/2015,33,38,,0.555555556,3.333333333,-17.77777778
UPM00033983,"KERCH, UP",1/6/2015,31,33,,-0.555555556,0.555555556,-17.77777778
UPM00033983,"KERCH, UP",1/7/2015,19,,,-7.222222222,-17.77777778,-17.77777778
UPM00033983,"KERCH, UP",1/8/2015,12,,11,-11.11111111,-17.77777778,-11.66666667
UPM00033983,"KERCH, UP",1/9/2015,20,35,7,-6.666666667,1.666666667,-13.88888889
UPM00033983,"KERCH, UP",1/10/2015,37,41,32,2.777777778,5,0
UPM00033983,"KERCH, UP",1/11/2015,41,47,32,5,8.333333333,0
UPM00033983,"KERCH, UP",1/12/2015,37,,,2.777777778,-17.77777778,-17.77777778
UPM00033983,"KERCH, UP",1/13/2015,34,44,28,1.111111111,6.666666667,-2.222222222
UPM00033983,"KERCH, UP",1/14/2015,37,47,31,2.777777778,8.333333333,-0.555555556
UPM00033983,"KERCH, UP",1/15/2015,36,48,29,2.222222222,8.888888889,-1.666666667
UPM00033983,"KERCH, UP",1/16/2015,35,39,,1.666666667,3.888888889,-17.77777778
UPM00033983,"KERCH, UP",1/17/2015,34,41,,1.111111111,5,-17.77777778
UPM00033983,"KERCH, UP",1/18/2015,38,49,28,3.333333333,9.444444444,-2.222222222
UPM00033983,"KERCH, UP",1/19/2015,45,53,40,7.222222222,11.66666667,4.444444444
UPM00033983,"KERCH, UP",1/20/2015,47,51,,8.333333333,10.55555556,-17.77777778
UPM00033983,"KERCH, UP",1/21/2015,48,54,45,8.888888889,12.22222222,7.222222222
UPM00033983,"KERCH, UP",1/22/2015,44,55,,6.666666667,12.77777778,-17.77777778
UPM00033983,"KERCH, UP",1/23/2015,40,43,36,4.444444444,6.111111111,2.222222222
UPM00033983,"KERCH, UP",1/24/2015,37,43,,2.777777778,6.111111111,-17.77777778
UPM00033983,"KERCH, UP",1/25/2015,37,42,33,2.777777778,5.555555556,0.555555556
UPM00033983,"KERCH, UP",1/26/2015,36,45,33,2.222222222,7.222222222,0.555555556
UPM00033983,"KERCH, UP",1/27/2015,39,,34,3.888888889,-17.77777778,1.111111111
UPM00033983,"KERCH, UP",1/28/2015,37,39,34,2.777777778,3.888888889,1.111111111
UPM00033983,"KERCH, UP",1/29/2015,38,46,,3.333333333,7.777777778,-17.77777778
UPM00033983,"KERCH, UP",1/30/2015,45,51,34,7.222222222,10.55555556,1.111111111
UPM00033983,"KERCH, UP",1/31/2015,49,53,42,9.444444444,11.66666667,5.555555556
UPM00033983,"KERCH, UP",2/1/2015,52,54,50,11.11111111,12.22222222,10
UPM00033983,"KERCH, UP",2/2/2015,51,56,,10.55555556,13.33333333,-17.77777778
UPM00033983,"KERCH, UP",2/3/2015,43,53,,6.111111111,11.66666667,-17.77777778
UPM00033983,"KERCH, UP",2/4/2015,40,48,35,4.444444444,8.888888889,1.666666667
UPM00033983,"KERCH, UP",2/5/2015,44,52,36,6.666666667,11.11111111,2.222222222
UPM00033983,"KERCH, UP",2/6/2015,36,40,,2.222222222,4.444444444,-17.77777778
UPM00033983,"KERCH, UP",2/7/2015,30,,,-1.111111111,-17.77777778,-17.77777778
UPM00033983,"KERCH, UP",2/8/2015,32,39,22,0,3.888888889,-5.555555556
UPM00033983,"KERCH, UP",2/9/2015,35,,,1.666666667,-17.77777778,-17.77777778
UPM00033983,"KERCH, UP",2/10/2015,31,39,28,-0.555555556,3.888888889,-2.222222222
