iter	Passed	Remaining
0	7	7233
1	13	6622
2	19	6410
3	25	6289
4	31	6218
5	37	6166
6	43	6130
7	49	6100
8	55	6075
9	61	6049
10	67	6028
11	72	6008
12	78	5990
13	84	5973
14	90	5958
15	96	5945
16	102	5905
17	107	5844
18	112	5787
19	117	5735
20	122	5687
21	126	5643
22	131	5603
23	136	5566
24	141	5532
25	146	5499
26	151	5468
27	156	5439
28	161	5413
29	166	5387
30	171	5362
31	176	5340
32	181	5320
33	186	5304
34	191	5289
35	196	5274
36	202	5260
37	207	5246
38	212	5233
39	217	5220
40	222	5207
41	227	5194
42	232	5183
43	238	5171
44	243	5159
45	248	5148
46	253	5138
47	258	5127
48	263	5117
49	268	5106
50	273	5096
51	279	5087
52	284	5078
53	289	5068
54	294	5059
55	299	5051
56	304	5045
57	310	5045
58	315	5037
59	320	5028
60	326	5019
61	331	5010
62	336	5002
63	341	4994
64	346	4986
65	351	4978
66	356	4970
67	362	4961
68	367	4953
69	372	4945
70	377	4938
71	382	4930
72	387	4922
73	392	4914
74	397	4907
75	403	4900
76	408	4892
77	413	4885
78	418	4877
79	423	4870
80	428	4862
81	433	4855
82	438	4848
83	443	4840
84	449	4833
85	454	4826
86	459	4819
87	464	4812
88	469	4805
89	474	4798
90	479	4791
91	484	4785
92	490	4779
93	495	4772
94	500	4766
95	505	4760
96	510	4754
97	515	4747
98	521	4741
99	526	4735
100	531	4729
101	536	4723
102	541	4716
103	546	4710
104	551	4704
105	557	4698
106	562	4692
107	567	4686
108	572	4680
109	577	4674
110	582	4668
111	588	4662
112	593	4656
113	598	4650
114	603	4644
115	608	4638
116	613	4631
117	618	4625
118	623	4619
119	629	4613
120	634	4607
121	639	4602
122	644	4595
123	649	4589
124	654	4583
125	659	4577
126	665	4572
127	670	4565
128	675	4560
129	680	4555
130	685	4549
131	691	4544
132	696	4538
133	701	4533
134	706	4527
135	711	4521
136	716	4515
137	722	4510
138	727	4504
139	732	4498
140	737	4493
141	742	4487
142	747	4481
143	752	4475
144	757	4469
145	763	4463
146	768	4458
147	773	4452
148	778	4446
149	783	4440
150	788	4435
151	793	4429
152	799	4423
153	804	4417
154	809	4412
155	814	4406
156	819	4400
157	824	4395
158	829	4389
159	834	4383
160	840	4377
161	845	4371
162	850	4365
163	855	4358
164	860	4352
165	865	4346
166	870	4340
167	875	4334
168	880	4327
169	885	4321
170	890	4315
171	895	4308
172	900	4302
173	904	4295
174	909	4289
175	914	4283
176	919	4276
177	924	4270
