,Tg,Tk,n,Damage_e6
0,[1223.257],[456.011],[14072.548],[5.698779e-06]
1,[1244.81],[467.043],[14189.946],[2.0436318e-05]
2,[1266.272],[478.036],[14306.477],[7.1432024e-05]
3,[1287.644],[488.988],[14422.123],[0.000236779224]
4,[1308.927],[499.899],[14536.9],[0.000747291123]
5,[1330.121],[510.769],[14650.793],[0.002270687917]
6,[1351.163],[521.623],[14764.639],[0.006649777683]
7,[1371.565],[532.661],[14884.763],[0.019161133716]
8,[1391.865],[543.66],[15004.082],[0.052968635186]
9,[1412.098],[554.634],[15122.763],[0.141224323425]
10,[1432.356],[565.59],[15241.382],[0.36512448642]
11,[1452.587],[576.521],[15359.548],[0.92675988241]
12,[1473.08],[587.202],[15470.354],[2.271601603608]
13,[1493.679],[597.737],[15577.028],[5.368960936469]
14,[1514.202],[608.229],[15682.82],[12.298620802687]
15,[1534.65],[618.679],[15787.731],[27.589645737477]
16,[1555.026],[629.089],[15891.787],[60.136495998521]
17,[1575.327],[639.457],[15994.971],[128.614473631871]
18,[1595.558],[649.785],[16097.329],[269.307203505335]
19,[1615.72],[660.073],[16198.871],[554.311405080609]
20,[1221.773],[455.188],[14064.326],[5.19232e-06]
21,[1243.339],[466.226],[14181.827],[1.8646712e-05]
22,[1264.815],[477.224],[14298.456],[6.5368216e-05]
23,[1286.199],[488.181],[14414.196],[0.000217278233]
24,[1307.494],[499.097],[14529.069],[0.000690511937]
25,[1328.701],[509.973],[14643.064],[0.002094314211]
26,[1349.8],[520.815],[14756.435],[0.006172731319]
27,[1370.215],[531.858],[14876.649],[0.017755500224]
28,[1390.528],[542.862],[14996.064],[0.049189974749]
29,[1410.771],[553.839],[15114.819],[0.131421457843]
30,[1431.03],[564.798],[15233.457],[0.340452387432]
31,[1451.276],[575.735],[15351.706],[0.871364262037]
32,[1471.74],[586.443],[15463.288],[2.139350729099]
33,[1492.35],[596.983],[15570.059],[5.064289709428]
34,[1512.885],[607.48],[15675.939],[11.617963476895]
35,[1533.344],[617.936],[15780.951],[26.100033485085]
