Ta,Fuel,Tg,Tk,n,Damage
-17.0,0.972983,690.995,332.36199999999997,10667.0,5.82182944630117e-16
-16.0,0.979266,698.5010000000001,332.918,10705.749,1.0671908279331698e-15
-15.0,0.984439,705.5369999999999,333.463,10742.293,1.871132378579088e-15
-14.0,0.989819,712.42,334.13199999999995,10775.867,3.2297245956190443e-15
-13.0,0.995094,719.2439999999999,334.82300000000004,10809.362,5.51550696817265e-15
-12.0,1.000137,725.928,335.519,10842.534,9.264440819161652e-15
-11.0,1.005058,732.576,336.227,10875.538,1.5429467553941616e-14
-10.0,1.009884,739.195,336.94699999999995,10908.363000000001,2.5503296823465843e-14
-9.0,1.014613,745.791,337.675,10941.051000000001,4.184352267920518e-14
-8.0,1.019354,752.312,338.45599999999996,10972.306,6.796605532288088e-14
-7.0,1.024553,758.8739999999999,339.32099999999997,11001.053,1.1034590923367197e-13
-6.0,1.030513,765.508,340.309,11025.123,1.7957199230878516e-13
-5.0,1.036601,772.18,341.32099999999997,11048.47,2.915863085975982e-13
-4.0,1.042626,778.8580000000001,342.333,11071.653,4.710233136990739e-13
-3.0,1.0486030000000002,785.547,343.345,11094.697,7.575762889920193e-13
-2.0,1.054534,792.247,344.35699999999997,11117.598999999998,1.2124414991528502e-12
-1.0,1.060419,798.9580000000001,345.37,11140.356000000002,1.9318847099435478e-12
0.0,1.066259,805.679,346.384,11162.985,3.063683185397462e-12
1.0,1.0720530000000001,812.4119999999999,347.398,11185.491000000002,4.837433686117227e-12
2.0,1.0778020000000001,819.154,348.413,11207.864,7.604659011768088e-12
3.0,1.0836569999999999,826.052,349.491,11229.446000000002,1.2025401679086901e-11
4.0,1.0895620000000001,832.9889999999999,350.588,11250.893999999998,1.8972396262002525e-11
5.0,1.095439,839.936,351.69599999999997,11272.08,2.979508551692759e-11
6.0,1.1012950000000001,846.8969999999999,352.816,11293.014,4.661022521456388e-11
7.0,1.107129,853.868,353.94800000000004,11313.696000000002,7.259347990900049e-11
8.0,1.112943,860.8510000000001,355.092,11334.127,1.1260227129913454e-10
9.0,1.11876,867.857,356.25800000000004,11354.178999999998,1.7409336144563085e-10
10.0,1.124607,874.8960000000001,357.45300000000003,11373.864,2.6850045110589766e-10
11.0,1.130427,881.939,358.656,11393.323999999999,4.1665433456191613e-10
12.0,1.1362379999999999,889.0,359.865,11412.573999999999,6.459051828507955e-10
13.0,1.142053,896.0369999999999,361.096,11431.296,1.0001351731019252e-09
14.0,1.147767,903.799,362.289,11449.821000000002,1.6176227684434584e-09
15.0,1.154512,912.45,363.559,11470.085,2.752382324741383e-09
16.0,1.161238,921.1310000000001,364.833,11490.255,4.659544189075928e-09
17.0,1.167918,929.836,366.106,11510.29,7.835897653766659e-09
18.0,1.174553,938.563,367.379,11530.193000000001,1.3078163675719972e-08
19.0,1.1811450000000001,947.316,368.652,11549.964,2.167442562473809e-08
20.0,1.1877,956.0980000000001,369.92400000000004,11569.613000000001,3.569339796186332e-08
21.0,1.194221,964.914,371.195,11589.141000000001,5.843061474500133e-08
22.0,1.200711,973.7669999999999,372.463,11608.553,9.511211222832613e-08
23.0,1.207139,982.618,373.73400000000004,11627.822,1.5356105058034018e-07
24.0,1.213549,991.5939999999999,374.985,11647.063,2.475322323568985e-07
25.0,1.220823,1002.041,376.048,11667.968,4.2506070375370467e-07
26.0,1.228065,1012.497,377.135,11688.577,7.231507343391556e-07
27.0,1.235249,1022.952,378.246,11708.841,1.2183598757367553e-06
28.0,1.242324,1033.391,379.349,11729.065,2.030704061564556e-06
29.0,1.249292,1043.813,380.44300000000004,11749.247,3.077105649626815e-06
30.0,1.256156,1054.219,381.53,11769.389,5.043269686458548e-06
31.0,1.262932,1065.0819999999999,382.454,11791.47,8.552229137196839e-06
32.0,1.2696479999999999,1077.253,382.964,11818.712,1.5237044254798514e-05
33.0,1.2762360000000001,1089.4260000000002,383.463,11845.876,2.6818168914166034e-05
34.0,1.282793,1101.54,383.98699999999997,11872.31,4.646080138545502e-05
35.0,1.28928,1113.363,384.57300000000004,11897.368,7.847982648213611e-05
36.0,1.295679,1124.845,385.226,11921.051000000001,0.00012929261653692187
37.0,1.30199,1136.3239999999998,385.87199999999996,11944.636999999999,0.00021072415318575092
