Ta,Fuel,Tg,Tk,n,Damage
-17.0,0.972983,690.995,332.36199999999997,10667.0,4.693891092344182e-16
-16.0,0.979266,698.5010000000001,332.918,10705.749,8.69584456299826e-16
-15.0,0.984439,705.5369999999999,333.463,10742.293,1.5386716895556129e-15
-14.0,0.989819,712.42,334.13199999999995,10775.867,2.679198711533122e-15
-13.0,0.995094,719.2439999999999,334.82300000000004,10809.362,4.614415651829487e-15
-12.0,1.000137,725.928,335.519,10842.534,7.810175889523886e-15
-11.0,1.005058,732.576,336.227,10875.538,1.310609227411477e-14
-10.0,1.009884,739.195,336.94699999999995,10908.363000000001,2.1815461464325714e-14
-9.0,1.014613,745.791,337.675,10941.051000000001,3.6039985806805926e-14
-8.0,1.019354,752.312,338.45599999999996,10972.306,5.893157817140737e-14
-7.0,1.024553,758.8739999999999,339.32099999999997,11001.053,9.62816658067795e-14
-6.0,1.030513,765.508,340.309,11025.123,1.5775850197175967e-13
-5.0,1.036601,772.18,341.32099999999997,11048.47,2.578071820195445e-13
-4.0,1.042626,778.8580000000001,342.333,11071.653,4.1908480961600235e-13
-3.0,1.0486030000000002,785.547,343.345,11094.697,6.780715846131504e-13
-2.0,1.054534,792.247,344.35699999999997,11117.598999999998,1.0916739218923208e-12
-1.0,1.060419,798.9580000000001,345.37,11140.356000000002,1.7494293724473558e-12
0.0,1.066259,805.679,346.384,11162.985,2.7900028368477217e-12
1.0,1.0720530000000001,812.4119999999999,347.398,11185.491000000002,4.4291356770034934e-12
2.0,1.0778020000000001,819.154,348.413,11207.864,6.998398332759557e-12
3.0,1.0836569999999999,826.052,349.491,11229.446000000002,1.1124707382618817e-11
4.0,1.0895620000000001,832.9889999999999,350.588,11250.893999999998,1.7638450769070445e-11
5.0,1.095439,839.936,351.69599999999997,11272.08,2.7837243703103352e-11
6.0,1.1012950000000001,846.8969999999999,352.816,11293.014,4.3750594939172096e-11
7.0,1.107129,853.868,353.94800000000004,11313.696000000002,6.845332968793982e-11
8.0,1.112943,860.8510000000001,355.092,11334.127,1.0664691494119963e-10
9.0,1.11876,867.857,356.25800000000004,11354.178999999998,1.6559076324956324e-10
10.0,1.124607,874.8960000000001,357.45300000000003,11373.864,2.5644462739603997e-10
11.0,1.130427,881.939,358.656,11393.323999999999,3.952472089753893e-10
12.0,1.1362379999999999,889.0,359.865,11412.573999999999,6.068649646034676e-10
13.0,1.142053,896.0369999999999,361.096,11431.296,9.340620714957724e-10
14.0,1.147767,903.799,362.289,11449.821000000002,1.516346492600143e-09
15.0,1.154512,912.45,363.559,11470.085,2.6077970250277663e-09
16.0,1.161238,921.1310000000001,364.833,11490.255,4.452984167625843e-09
17.0,1.167918,929.836,366.106,11510.29,7.543666241332371e-09
18.0,1.174553,938.563,367.379,11530.193000000001,1.2675305295452959e-08
19.0,1.1811450000000001,947.316,368.652,11549.964,2.112794147328889e-08
20.0,1.1877,956.0980000000001,369.92400000000004,11569.613000000001,3.4974363292052605e-08
21.0,1.194221,964.914,371.195,11589.141000000001,5.7527948087485084e-08
22.0,1.200711,973.7669999999999,372.463,11608.553,9.406206758056148e-08
23.0,1.207139,982.618,373.73400000000004,11627.822,1.524764539093739e-07
24.0,1.213549,991.5939999999999,374.985,11647.063,2.4665168346638017e-07
25.0,1.220823,1002.041,376.048,11667.968,4.250999536700116e-07
26.0,1.228065,1012.497,377.135,11688.577,7.254056740781624e-07
27.0,1.235249,1022.952,378.246,11708.841,1.2257175697962513e-06
28.0,1.242324,1033.391,379.349,11729.065,2.0465291294737145e-06
29.0,1.249292,1043.813,380.44300000000004,11749.247,2.720417024323808e-06
30.0,1.256156,1054.219,381.53,11769.389,4.4065000022471006e-06
31.0,1.262932,1065.0819999999999,382.454,11791.47,7.490929729151248e-06
32.0,1.2696479999999999,1077.253,382.964,11818.712,1.3363159197247596e-05
33.0,1.2762360000000001,1089.4260000000002,383.463,11845.876,2.355560874316661e-05
34.0,1.282793,1101.54,383.98699999999997,11872.31,4.0920356093775426e-05
35.0,1.28928,1113.363,384.57300000000004,11897.368,6.93035920173422e-05
36.0,1.295679,1124.845,385.226,11921.051000000001,0.00011433578733455127
37.0,1.30199,1136.3239999999998,385.87199999999996,11944.636999999999,0.00018674057725861224
