STATION,NAME,DATE,TAVG_F,TMAX_F,TMIN_F,TAVG,TMAX,TMIN
RSM00027612,"MOSCOW, RS",1/1/2015,29,33,18,-1.666666667,0.555555556,-7.777777778
RSM00027612,"MOSCOW, RS",1/2/2015,34,35,33,1.111111111,1.666666667,0.555555556
RSM00027612,"MOSCOW, RS",1/3/2015,35,37,33,1.666666667,2.777777778,0.555555556
RSM00027612,"MOSCOW, RS",1/4/2015,33,36,31,0.555555556,2.222222222,-0.555555556
RSM00027612,"MOSCOW, RS",1/5/2015,14,31,4,-10,-0.555555556,-15.55555556
RSM00027612,"MOSCOW, RS",1/6/2015,-1,4,-4,-18.33333333,-15.55555556,-20
RSM00027612,"MOSCOW, RS",1/7/2015,-1,3,-5,-18.33333333,-16.11111111,-20.55555556
RSM00027612,"MOSCOW, RS",1/8/2015,11,15,0,-11.66666667,-9.444444444,-17.77777778
RSM00027612,"MOSCOW, RS",1/9/2015,17,20,14,-8.333333333,-6.666666667,-10
RSM00027612,"MOSCOW, RS",1/10/2015,25,28,14,-3.888888889,-2.222222222,-10
RSM00027612,"MOSCOW, RS",1/11/2015,31,34,26,-0.555555556,1.111111111,-3.333333333
RSM00027612,"MOSCOW, RS",1/12/2015,32,35,28,0,1.666666667,-2.222222222
RSM00027612,"MOSCOW, RS",1/13/2015,30,36,22,-1.111111111,2.222222222,-5.555555556
RSM00027612,"MOSCOW, RS",1/14/2015,36,38,34,2.222222222,3.333333333,1.111111111
RSM00027612,"MOSCOW, RS",1/15/2015,35,38,33,1.666666667,3.333333333,0.555555556
RSM00027612,"MOSCOW, RS",1/16/2015,32,34,28,0,1.111111111,-2.222222222
RSM00027612,"MOSCOW, RS",1/17/2015,32,33,31,0,0.555555556,-0.555555556
RSM00027612,"MOSCOW, RS",1/18/2015,33,35,31,0.555555556,1.666666667,-0.555555556
RSM00027612,"MOSCOW, RS",1/19/2015,32,35,28,0,1.666666667,-2.222222222
RSM00027612,"MOSCOW, RS",1/20/2015,24,33,15,-4.444444444,0.555555556,-9.444444444
RSM00027612,"MOSCOW, RS",1/21/2015,8,15,4,-13.33333333,-9.444444444,-15.55555556
RSM00027612,"MOSCOW, RS",1/22/2015,11,17,0,-11.66666667,-8.333333333,-17.77777778
